student_id,student_name,age,email,country,postal_code,grade,major,enrollment_date,graduation_date,tuition_fee,scholarship_amount
90,Ealasaid Lippatt,18,elippatt2h@over-blog.com,Indonesia,,A,Mathematics,9/21/2015,7/5/2026,25847.62,4566.77
91,Dennet Rome,22,drome2i@bravesites.com,Russia,188966,C,Literature,4/17/2017,7/22/2027,48389.44,273.17
92,Sibley Jacqueminot,24,sjacqueminot2j@unc.edu,France,31004 CEDEX 6,D,Literature,2/1/2013,4/21/2024,8486.84,4567.23
93,Daron Casassa,21,dcasassa2k@huffingtonpost.com,Argentina,6530,D,Science,3/16/2012,10/21/2030,15145.9,1944.93
94,Feliks Mulrenan,24,fmulrenan2l@ucla.edu,Russia,400036,F,Mathematics,2/7/2015,6/28/2025,27614.08,1846.32
95,Juieta Langlais,20,jlanglais2m@tripadvisor.com,South Africa,1932,A,Literature,5/24/2019,1/1/2025,43921.71,1420.88
96,Royce Nairy,19,rnairy2n@tripadvisor.com,Mali,,D,Mathematics,11/19/2018,4/30/2025,14983.02,5928.08
97,Perle Bothams,21,pbothams2o@npr.org,China,,D,Science,1/31/2020,7/29/2029,8287.94,7764.3
98,Wynn Foxwell,18,wfoxwell2p@abc.net.au,Luxembourg,L-9098,B,Literature,6/23/2021,12/12/2025,23549.07,9376.71
99,Annabela Santen,21,asanten2q@stanford.edu,Indonesia,,C,Literature,3/17/2014,9/15/2025,19376.27,5846.69
100,Merilyn Brumble,23,mbrumble2r@narod.ru,China,,C,Literature,3/21/2017,12/6/2024,14381.62,1036.66
101,Ahmad Scutchings,24,ascutchings2s@un.org,Brazil,26400-000,D,Science,9/13/2015,1/27/2028,49790.32,6953.54
102,Gallagher Colliber,25,gcolliber2t@vistaprint.com,Sweden,831 37,B,Mathematics,5/19/2011,1/1/2025,21520.14,3230.84
103,Deerdre Cavendish,23,dcavendish2u@state.gov,Peru,,C,History,11/18/2013,5/11/2025,30221.16,369.29
104,Norrie Ashwin,23,nashwin2v@51.la,China,,D,Literature,12/28/2014,3/7/2027,29679.52,2094.76
105,Ron Fenwick,18,rfenwick2w@arstechnica.com,Indonesia,,A,Literature,2/19/2013,8/17/2030,9327.3,2490.35
106,Del Poetz,18,dpoetz2x@vistaprint.com,Russia,346018,F,Science,9/14/2011,9/19/2026,34991.07,3533.57
107,Ado Dews,24,adews2y@dot.gov,Colombia,733529,D,Literature,10/28/2012,11/16/2025,32828.75,6946.45
108,Marion Meehan,19,mmeehan2z@mlb.com,Portugal,5400-715,D,Mathematics,4/14/2017,12/11/2028,26532.63,7208.55
109,Veronike Tuxell,23,vtuxell30@ask.com,Vietnam,,D,Science,7/6/2018,6/1/2029,39709.97,1436.74
110,Janella Saward,18,jsaward31@google.com.br,Brazil,45690-000,F,Science,10/25/2016,5/10/2024,46955.16,5859.0
111,Stafford Webberley,24,swebberley32@amazonaws.com,South Africa,1028,F,Literature,7/8/2021,8/19/2028,17188.0,1617.64
112,Reed Georgievski,23,rgeorgievski33@indiatimes.com,Indonesia,,D,Mathematics,12/16/2021,2/4/2030,10283.48,8300.32
113,Mamie Vernalls,21,mvernalls34@apple.com,South Korea,,C,Literature,12/26/2010,3/5/2026,44749.24,3561.79
114,Dwight Hugin,25,dhugin35@mail.ru,Iran,,F,History,3/21/2012,6/16/2025,44254.18,2095.73
115,Clarine MacCome,19,cmaccome36@state.gov,Kenya,,A,Mathematics,1/25/2015,12/14/2026,35657.13,547.81
116,Antin Leabeater,23,aleabeater37@bbc.co.uk,Belarus,,D,History,10/18/2019,8/28/2026,7641.06,8425.72
117,Kissee MacCome,22,kmaccome38@alexa.com,Azerbaijan,,F,Mathematics,8/15/2016,3/11/2026,43815.88,5063.83
118,Hamish Begin,20,hbegin39@auda.org.au,China,,B,Literature,3/11/2011,9/8/2025,22285.65,5597.91
119,Tommie Melland,18,tmelland3a@shop-pro.jp,Indonesia,,C,History,9/13/2012,5/28/2026,14409.16,8198.48
120,Hildagard Wheway,21,hwheway3b@ask.com,Brazil,12570-000,C,History,8/6/2018,12/26/2025,22976.43,5298.52
121,Blinny Kettlestring,21,bkettlestring3c@ning.com,Guatemala,15006,C,Science,1/25/2016,4/16/2029,44567.44,7636.9
122,Corabella Gayther,22,cgayther3d@bigcartel.com,Chile,,C,Science,10/7/2013,9/1/2025,2305.78,5778.73
123,Pace Oneil,18,poneil3e@epa.gov,Malaysia,05516,C,Mathematics,5/4/2011,6/7/2028,25750.85,7178.5
124,Sallyann Gorbell,24,sgorbell3f@engadget.com,Russia,300999,D,History,8/12/2012,4/28/2028,41683.64,7488.92
125,Piotr Wasselin,19,pwasselin3g@google.pl,Bangladesh,8121,A,Science,2/16/2016,10/28/2024,42256.92,4916.5
126,Jsandye Moppett,21,jmoppett3h@hc360.com,Poland,32-765,B,Science,1/16/2015,3/28/2024,25810.75,9400.5
127,Ernesta Schaffel,18,eschaffel3i@amazon.com,Sweden,171 64,C,History,2/4/2019,12/1/2024,6253.19,2656.46
128,Allys Hulse,18,ahulse3j@amazon.de,Thailand,46240,B,Mathematics,3/23/2011,8/21/2027,34449.61,213.23
129,Karoline Gude,22,kgude3k@sun.com,China,,C,Science,4/22/2011,2/24/2024,25015.54,3290.92
130,Shamus McFeat,20,smcfeat3l@google.com.hk,Peru,,A,History,1/13/2013,4/6/2029,41258.97,6786.25
131,Kimberly Spleving,20,kspleving3m@ted.com,Argentina,8203,B,Science,5/13/2014,11/16/2028,21394.21,4007.92
132,Kaine Feldhammer,25,kfeldhammer3n@naver.com,Portugal,3405-006,D,Mathematics,2/23/2017,7/26/2029,35437.21,4064.67
133,Valera Keyho,21,vkeyho3o@deliciousdays.com,Cameroon,,C,Literature,8/17/2019,4/21/2030,11446.67,6586.84
134,Luigi Chastey,19,lchastey3p@bloglovin.com,Philippines,7006,C,Science,7/8/2017,3/27/2030,1883.35,1761.03
135,Bliss Haston,18,bhaston3q@wikimedia.org,Indonesia,,A,Literature,5/9/2013,11/14/2024,10316.55,6686.03
136,Stevy Harmes,22,sharmes3r@state.gov,Mongolia,,D,History,8/4/2017,7/19/2028,22790.33,6261.12
137,Modestia Linacre,23,mlinacre3s@163.com,China,,A,Literature,3/11/2010,3/6/2028,35844.12,9692.1
138,Dale Dormon,18,ddormon3t@51.la,China,,C,Literature,1/29/2018,2/29/2024,37703.56,8934.9
139,Robbi Soff,23,rsoff3u@washington.edu,New Zealand,3352,D,History,8/19/2021,6/24/2028,27703.62,4169.58
140,Gaby Fozzard,19,gfozzard3v@barnesandnoble.com,Russia,352159,F,History,12/21/2021,10/3/2028,38928.09,4242.87
141,Shaun Maccrae,24,smaccrae3w@whitehouse.gov,Philippines,1607,A,Mathematics,3/29/2012,8/27/2028,20485.73,3549.04
142,Thomasin Edward,25,tedward3x@noaa.gov,Canada,L6S,F,Literature,7/27/2014,12/10/2030,5268.22,2587.03
143,Sheeree Muzzall,18,smuzzall3y@dyndns.org,Burkina Faso,,B,Science,5/8/2014,8/19/2030,45775.7,7095.3
144,Betti Gresty,18,bgresty3z@shareasale.com,Philippines,4301,D,History,10/5/2012,2/23/2026,37181.8,6915.56
145,Jamal Rhydderch,20,jrhydderch40@people.com.cn,China,,B,History,3/15/2013,7/11/2027,8966.18,9786.74
146,Bebe Tibols,19,btibols41@europa.eu,Indonesia,,D,Mathematics,9/11/2011,11/5/2030,20071.74,2127.36
147,Abagail Dawton,20,adawton42@stanford.edu,China,,D,Science,1/21/2013,12/10/2029,24638.82,8247.45
148,Celie Wickie,19,cwickie43@boston.com,China,,D,History,8/20/2019,7/11/2030,23278.52,3195.73
149,Ninnetta Youthead,20,nyouthead44@wunderground.com,Canada,J7R,C,Science,4/7/2017,7/14/2027,1996.43,7550.35
150,Beverly Du Plantier,22,bdu45@cpanel.net,United States,53263,F,Mathematics,9/15/2012,12/18/2027,36240.77,5131.85
151,Dolf Wilcockes,20,dwilcockes46@icq.com,Kyrgyzstan,,B,Literature,7/5/2013,8/14/2028,47703.89,4571.67
152,Steffen Leil,21,sleil47@ucoz.com,Greece,,F,History,4/18/2016,12/23/2029,46688.81,1445.3
153,Guillermo Chalk,25,gchalk48@shutterfly.com,Peru,,D,Mathematics,7/5/2019,3/5/2025,23084.9,6583.77
154,Merla Toyne,25,mtoyne49@spotify.com,China,,C,Mathematics,6/2/2012,11/29/2024,24180.86,3681.2
155,Kristos Drissell,18,kdrissell4a@phpbb.com,Bosnia and Herzegovina,,C,Literature,6/6/2011,6/18/2026,24098.17,9702.48
156,Earvin Kohlert,25,ekohlert4b@google.it,Portugal,4825-364,F,Literature,7/26/2020,7/30/2026,34951.85,4058.5
157,Harlan Rappa,19,hrappa4c@washingtonpost.com,Czech Republic,747 20,B,Literature,12/18/2015,7/25/2027,25570.72,6588.61
158,Dietrich Spenceley,22,dspenceley4d@state.gov,Cuba,,D,Mathematics,4/6/2012,2/25/2024,44931.36,1528.64
159,Fawn Greep,24,fgreep4e@webmd.com,New Caledonia,98850,D,Literature,12/19/2018,5/25/2024,17855.76,8487.15
160,Judye Danielut,18,jdanielut4f@telegraph.co.uk,China,,D,Science,12/14/2011,3/26/2024,9107.47,8679.8
161,Catriona Dikle,18,cdikle4g@marketwatch.com,Indonesia,,D,Literature,7/3/2015,9/6/2027,18432.12,1584.85
162,Roxane Hovard,19,rhovard4h@apache.org,Poland,66-302,F,Science,5/11/2017,11/20/2026,7786.41,4369.49
163,Hugibert Pendlenton,19,hpendlenton4i@lycos.com,Tanzania,,B,Mathematics,11/5/2012,5/12/2026,39344.76,2712.41
164,Alix Gerrit,20,agerrit4j@businessinsider.com,Russia,186806,D,Literature,4/20/2015,7/17/2028,40991.07,1673.42
165,Elsa Willey,19,ewilley4k@fda.gov,China,,B,Literature,11/18/2013,12/3/2028,11775.94,9207.38
166,Omero McKeney,22,omckeney4l@google.cn,Russia,171843,B,Literature,12/24/2016,2/16/2027,18577.89,5402.88
167,Travus Braybrook,20,tbraybrook4m@europa.eu,Saudi Arabia,,C,Mathematics,7/25/2019,1/16/2024,2641.54,8483.25
168,Leena Umney,23,lumney4n@cafepress.com,Poland,22-670,F,Mathematics,7/7/2021,7/2/2028,2266.21,8209.67
169,Noreen Renault,23,nrenault4o@mlb.com,Ukraine,,D,Literature,6/7/2020,8/9/2027,13666.83,9877.13
170,Addi Berni,21,aberni4p@1688.com,Uruguay,,A,History,7/8/2019,4/4/2030,32684.03,3590.43
171,Bertie Jelf,19,bjelf4q@tripadvisor.com,China,,D,History,2/19/2011,4/4/2030,4177.45,969.43
172,Salim Pinney,25,spinney4r@tuttocitta.it,Morocco,,F,Science,1/1/2021,1/30/2027,48774.07,6844.61
173,Wendeline Yarwood,21,wyarwood4s@plala.or.jp,Bulgaria,4225,D,Science,3/7/2010,8/22/2026,44929.38,8409.25
174,Patty Coverly,19,pcoverly4t@bing.com,Costa Rica,11801,B,Science,3/2/2014,7/8/2029,36259.46,3126.88
175,Maddie Vinsen,24,mvinsen4u@wikia.com,Mongolia,,A,Literature,2/17/2020,6/8/2025,35571.49,9164.54
176,Victoria Ivankovic,25,vivankovic4v@smugmug.com,Madagascar,,B,History,9/2/2011,3/7/2027,31785.44,3811.1
177,Sara Newbegin,24,snewbegin4w@shop-pro.jp,Japan,958-0224,D,Mathematics,3/2/2013,11/14/2030,41759.97,8720.86
178,Linnell Lerhinan,18,llerhinan4x@blogtalkradio.com,Colombia,203067,C,Literature,6/13/2018,8/18/2028,15067.87,4154.54
179,Lorinda Gipp,19,lgipp4y@narod.ru,China,,A,History,6/4/2019,6/18/2028,17552.06,9943.0
180,Bart Beaford,22,bbeaford4z@sbwire.com,Philippines,3513,C,History,7/14/2011,10/2/2026,27863.0,4711.47
181,Hobard Sivewright,18,hsivewright50@altervista.org,Sweden,594 93,A,Mathematics,3/6/2018,4/22/2027,4506.53,1158.64
182,Cyndy Eallis,24,ceallis51@storify.com,Colombia,763508,C,Science,10/17/2020,10/2/2025,46875.04,1102.05
183,Mallory Lakeland,23,mlakeland52@creativecommons.org,Poland,95-083,C,History,8/22/2019,11/12/2030,33185.68,977.71
184,Piper Goodsall,18,pgoodsall53@cornell.edu,Greece,,F,Literature,3/29/2019,9/27/2027,39878.32,1425.24
185,Terry Stopforth,21,tstopforth54@reuters.com,China,,C,Literature,3/29/2010,11/21/2024,48983.6,3418.1
186,Donalt Stonehewer,20,dstonehewer55@businessinsider.com,Indonesia,,D,Literature,4/25/2016,4/21/2024,42267.67,4023.61
187,Rafe Ager,22,rager56@meetup.com,Sweden,151 44,C,Mathematics,10/30/2012,4/1/2029,6965.95,4428.53
188,Chery Bawles,21,cbawles57@squarespace.com,Macedonia,1237,C,Science,2/13/2013,10/4/2027,32237.43,1758.97
189,Persis Gyver,18,pgyver58@redcross.org,Bosnia and Herzegovina,,A,History,6/17/2019,8/13/2027,12495.74,7954.86
190,Katine Bignold,18,kbignold59@storify.com,Poland,66-225,F,Science,6/3/2014,4/25/2025,13120.11,8928.11
191,Paul Caudrelier,18,pcaudrelier5a@devhub.com,Russia,368293,C,Literature,6/16/2012,12/16/2030,29691.98,4517.53
192,Cly Caddy,19,ccaddy5b@mayoclinic.com,Philippines,6117,F,History,12/13/2014,4/3/2028,24734.67,3193.82
193,Van Dubois,23,vdubois5c@multiply.com,Venezuela,,C,Literature,8/11/2017,7/24/2025,7587.24,1350.91
194,Constantina Robion,20,crobion5d@narod.ru,Sweden,641 91,F,Science,10/24/2015,2/22/2027,24509.94,6928.66
195,Delano Huddles,20,dhuddles5e@com.com,Greece,,D,History,12/21/2010,9/24/2027,4811.48,7170.99
196,Hadlee Gori,21,hgori5f@sphinn.com,Philippines,4117,A,History,12/9/2015,11/27/2028,39860.47,8870.57
197,Kellen McPhillips,25,kmcphillips5g@xrea.com,Palestinian Territory,,B,History,9/24/2017,8/5/2027,31392.54,3586.11
198,Fergus Thormwell,20,fthormwell5h@answers.com,Brazil,55940-000,A,History,9/1/2021,3/1/2030,9145.92,3082.85
199,Ramsey Ashford,22,rashford5i@independent.co.uk,China,,C,History,3/20/2012,9/4/2026,11573.21,5197.97
200,Farley MacTrustram,24,fmactrustram5j@amazon.com,Portugal,9630-015,A,Literature,7/22/2020,8/20/2025,45199.09,9970.03
201,Kerstin Morigan,24,kmorigan5k@is.gd,Indonesia,,F,Science,2/9/2019,8/13/2028,26721.8,6786.9
202,Kiah Helliar,21,khelliar5l@mtv.com,Indonesia,,A,Science,8/25/2013,7/26/2027,21598.36,9091.54
203,Sigrid Jaycocks,19,sjaycocks5m@yandex.ru,French Guiana,97387 CEDEX,C,Science,7/23/2021,12/14/2030,36489.78,3739.0
204,Ilka Ruckert,18,iruckert5n@youtu.be,Brazil,95650-000,B,Science,8/5/2020,8/22/2025,45899.68,3294.79
205,Dennis Scamp,20,dscamp5o@samsung.com,Indonesia,,F,Literature,11/18/2017,5/18/2026,35288.4,3053.46
206,Hillary Albury,22,halbury5p@cnbc.com,Myanmar,,A,History,3/5/2018,6/30/2028,23730.83,7109.98
207,Garvey Miners,20,gminers5q@yahoo.com,China,,B,Literature,2/23/2017,7/7/2028,48966.95,5211.64
208,Salim Brogioni,20,sbrogioni5r@cisco.com,Indonesia,,A,Mathematics,1/5/2021,1/20/2030,17646.13,8074.36
209,Evy Inkles,19,einkles5s@apache.org,Mexico,25050,D,History,6/10/2011,4/24/2028,38318.85,5598.39
210,Hillyer Imason,25,himason5t@blinklist.com,China,,F,Mathematics,5/2/2014,6/30/2030,16296.19,4770.0
211,Kaleb Parfitt,20,kparfitt5u@mtv.com,Libya,,C,Literature,9/27/2011,5/19/2024,28100.11,8927.14
212,Kelvin Greenrde,22,kgreenrde5v@cpanel.net,Poland,66-130,F,History,12/6/2015,4/9/2025,15721.76,3708.51
213,Griff Goomes,19,ggoomes5w@de.vu,France,92804 CEDEX,D,History,5/11/2018,12/26/2024,3676.27,8488.89
214,Adey Mughal,18,amughal5x@alexa.com,China,,A,History,12/15/2013,11/24/2024,2698.06,6988.34
215,Chad Dudding,24,cdudding5y@baidu.com,Tonga,,B,Mathematics,7/11/2016,1/14/2029,23731.81,2235.74
216,Liz Chansonnau,22,lchansonnau5z@biglobe.ne.jp,Indonesia,,A,Science,11/5/2019,4/26/2030,5774.35,4651.64
217,Baird Markey,19,bmarkey60@multiply.com,China,,F,Literature,9/2/2011,2/23/2029,44584.46,2836.01
218,Sue Hodgets,25,shodgets61@techcrunch.com,Indonesia,,A,History,4/8/2010,5/1/2026,42420.57,713.3
